%                                        #
BC_Interaction                           BcInteraction
create_square                            createSquare
create_square2                           createSquare2
create_tube                              createTube
curves()                                 getValuesManager()
define_t                                 defineTime
define_tf                                defineTdField
faces                                    sides
gen_elems                                generateElements
push_surf                                setSurfaceNo
set_abs                                  setAbs
set_arch_matlab                          setMatlabCurve
set_dim_3d                               setDim3D
set_dim_axi                              setDimAxisymmetric
set_dim_epd                              setDimPlaneStrain
set_eltype                               setElementType
set_init_temp                            setInitialTemperature
set_init_veloc                           setInitialVelocity
set_initial_time                         setInitialTime
set_mde_prop                             setIntegerData
set_mdr_prop                             setRealData
set_next_time                            setNextTime
set_ord                                  setOrd
set_surface_normal_for_face              setSurfaceNormalAsSideNormal
stupid_m                                 stupidMaterial
Materset      MaterialSet
MATERSET_PO   MATERIALSET_PO
MATER_PO      MATERIAL_PO
Positset      PositionSet
POSITSET_PO   POSITIONSET_PO
Physet        PhySet
Elemset       ElementSet
ELEMSET_PO    ELEMENTSET_PO
VectStr       VectorStr
Fixaset       FixationSet
FIXASET_PO    FIXATIONSET_PO
Prpelset      PropElemSet
PRPELSET_PO   PROPELEMSET_PO
Connexion_12  Connexion12
CONNEXION_12_PO  CONNEXION12_PO
Matsym        SymMatrix
Matsymstr     SymMatrixStr
SkymatNSstr   SkyMatrixStr
SkymatNS      SkyMatrix
Skymatstr     SymSkyMatrixStr
Skymat        SymSkyMatrix
Vect          Vector
Dofset        DofSet
Matsym2       SymMatr2
Matsym3       SymMatr3
set_test_with_ksi_for_nurbs  setTestKsiForNurbs
set_test_with_ksi_for_ruled  setTestKsiForRuled
set_degree    setDegree
add_nodes_in_box addNodesInBox

